username,name,location,tweet_text,created_at,retweets,likes,language
MollersPaul,Paul Möllers,,"@throeng @GenuineBY @Birgit_Kelle @FraukePetry Dass es das gibt, hat niemand abgestritten.
Aber Sie haben unter Birgit Kelles Post kommentiert - in der Absicht abzulenken vom Problem. Und das ist nicht nur #Silvester.
Und in der Unterhaltung mit Ihnen wurde u.a. klar, dass Sie einseitig die Deutschen verantwortlich machen.",2025-01-09 11:52:33+00:00,0,1,de
KH82865104,K.Heinz🇩🇪🇺🇦🇪🇺,Deutschland ,"@dg16593 @Birgit_Kelle @polizeiberlin Am 03.01. habe ich mit einem Polizisten über #Silvester geredet, und er hat genau diesen Satz gesagt, den ich im ersten Post geschrieben habe. Wir haben nicht über Gründe geredet. Er sagte noch, in Berlin wäre das normal, was bei uns in Bayreuth unmöglich wäre!?!",2025-01-09 11:36:30+00:00,0,0,de
Hajoax,HansJoachim,,"@Tagesspiegel Ich finde diese Liste interessant und aufschlussreich,weil genau hier die namentlichen,migrantinischen  Ursachen liegen und publiziert werden müssen!Interessant auch:KEINE asiatischen Migranten erkennbar!? #Berlin #Silvester #Nius",2025-01-09 11:24:40+00:00,0,2,de
SiSeidler,Franz Brunnermeier,Berchtsgodn,"@nikschrader ..und dann muss man sich ja noch vor Augen halten, dass es prozentual viel weniger Ausländer als Deutsche bei uns gibt, die wiederum aber in der Statistik viel mehr Straftaten begehen...
Das kann man sich auch nicht mehr schönrechnen! Auch keiner der #Linken 🤔 #berlin #silvester",2025-01-09 11:21:53+00:00,0,1,de
tobiasteich_by,Tobias Teich,,"Nennt die Vornamen!

https://t.co/K1reRisClS

#Silvesternacht #Silvester #Remigration",2025-01-09 11:19:03+00:00,0,0,de
berlinerzeitung,Berliner Zeitung,"Berlin, Deutschland",Eine Silvesterrakete explodierte auf dem Balkon von des des Berliner Musikers Adam Harzuf. Danach brannte seine Wohnung aus. Er ist nicht versichert. #Berlin #Silvester https://t.co/mfjs5jN18V,2025-01-09 11:12:00+00:00,15,53,de
AndreasW1739623,Andreas W.,,"@niusde_ Wie weit ist man eigentlich bei der Polizei mit der Verfolgung der Beamten,  die interne Informationen zu bevorstehenden Hausdurchsuchungen, vorzugsweise bei Regierungskritikern, vorab illegalerweise an die Presse weitergeben? Ich frage für einen Freund.
#Polizei 
#Silvester",2025-01-09 11:09:00+00:00,0,0,de
SiSeidler,Franz Brunnermeier,Berchtsgodn,"@Hartes_Geld @polizeiberlin ..und dann muss man sich ja noch vor Augen halten, dass es prozentual viel weniger Ausländer als Deutsche bei uns gibt, die wiederum aber in der Statistik viel mehr Straftaten begehen...
Das kann man sich nicht mehr schönrechnen! Auch keiner der #Grünen..🤔 #berlin #silvester",2025-01-09 10:15:54+00:00,0,5,de
SiSeidler,Franz Brunnermeier,Berchtsgodn,"@Georg_Pazderski ..und dann muss man sich ja noch vor Augen halten, dass es prozentual viel weniger Ausländer als Deutsche bei uns gibt, die wiederum aber in der Statistik viel mehr Straftaten begehen...
Das kann man sich nicht mehr schönrechnen! Auch keiner der #Grünen..🤔 #berlin #silvester",2025-01-09 10:15:07+00:00,2,5,de
SiSeidler,Franz Brunnermeier,Berchtsgodn,"@jannibal_ @polizeiberlin ..und dann muss man sich ja noch vor Augen halten, dass es prozentual viel weniger Ausländer als Deutsche bei uns gibt, die wiederum aber in der Statistik viel mehr Straftaten begehen...
Das kann man sich nicht mehr schönrechnen! Auch keiner der #Grünen..🤔 #berlin #silvester",2025-01-09 10:14:10+00:00,0,2,de
MoosburgTV,MoosburgTV,Moosburg,"Große Silvesterparty Landshut
#silvester 
Fotos: Benni Diemer

mehr auf https://t.co/IhKO22jXCY
https://t.co/b0w9rqAaZn

Sieh dir diesen Instagram-Beitrag von @stefan.jahnel an https://t.co/s9ZjfrlMnG",2025-01-09 10:01:28+00:00,0,0,de
TARIX896309,XTARIXTV 🇩🇪🇫🇷🇧🇪🇮🇹🇳🇱🇬🇷🇦🇹🇮🇱✝️✡️🙏🎗,,Ja klar und bei Sylt sind alle Namen veröffentlicht worden ihr wollt uns doch echt Verarschen #Sylt #Silvester #Deutschland https://t.co/YLpY7NpD7z,2025-01-09 10:00:44+00:00,0,0,de
Mc47844606,Mc,,"#Silvester
#Vornamen
Abdul, Abdulhamid, Abdülkadir, Abdulkarim, Abdullah, Adam, Adam, Adem, Adem, Adham, Adham, Ahmad, Ahmed, Ahmed, Ahmed, Ahmet, Alessandro, Aleyna, Aleyna, Ali, Ali, Ali, Ali, Ali, Ali, Ali, Ali, Alihan, Alino, Alkan, Amar, Amir, Amir... 
Keine Verfälschung!",2025-01-09 09:56:53+00:00,0,0,tr
von_palme,Detlef M.von Palme,,"Jeder Berliner, auch der komplett Grünverwahrloste, weiß wer den Straßenterror jedes Jahr an #Silvester verbreitet. Die grünverwahrloste Politik jault kurz auf, und das war es dann. 
Leute, geht wählen! #BTW2025 #Vornamen #Berlin #Silvesternacht https://t.co/BRWHfpbccy via @welt",2025-01-09 09:18:34+00:00,0,2,de
Disputatorus,Disputatorus 🕊,,"Dann sucht man sich eben einfach einen anderen Skandal.
Hauptsache es redet keiner mehr darüber, das größtenteils Migranten #Silvester kaputt machen und es für Rettungs- und Sicherheitskräfte zur Hölle werden lassen. https://t.co/xBqvrfPJfW",2025-01-09 08:48:13+00:00,0,0,de
KlartextRM,Klartext Rhein-Main,,"Immer wenn du denkst, die Wahrheit siegt am Ende doch, kommt irdendwo ein Systemling daher und macht jagt auf die, welche der Wahrheit sprechen. 👇👇👇👀🤛
#Berlin #Silvester #Migranten #Gewalt https://t.co/0EWSkCi7yK",2025-01-09 08:16:46+00:00,1,0,de
Weber_AfD,Marvin Weber,"Paderborn, Deutschland","Die meisten Silvesterjihadisten in Berlin hatten einen arabischen Vornamen. Wie kommt das bloß? Ich dachte, alle Menschen seien gleich, Deutsche machten das doch auch und nur ein Böllerverbot könnte uns helfen.🤡

#Silvester #Böller #Berlin",2025-01-09 08:10:21+00:00,0,0,de
KaleuDer,Der KaLeu,,"@nikschrader So vorhersehbar. Das Skandal sind natürlich nicht die Idioten, die #Berlin an #Silvester in einen Kriegsgebiet verwandeln, sondern - wie immer bei Linken - die Polizei. @polizeiberlin",2025-01-09 07:54:35+00:00,0,2,de
now9here,eve,,#Silvester #Migranten #Remigration https://t.co/lhK8o50LQK,2025-01-09 07:37:04+00:00,0,1,qht
pommesfritz60,Deutsche Kartoffel:in,NRW,Natürlich hat wieder nix mit nix zu tun. #Berlin #Silvester #Böllerverbot https://t.co/jgAp0zH5bV,2025-01-09 07:18:51+00:00,0,2,de
Witcher__77,Geralt_of_Rivia,Germany,@nikschrader Vuelleicht hast Du - wörtlich - den Knall nicht gehört. Daher fliegt die Linke am 23.02. aus dem BT #Linke #silvester #vornamen,2025-01-09 07:14:52+00:00,0,2,de
steffan_nethe,Steffan Nethe,"Hamburg, Deutschland","@DrKissler Sie sollten in #Berlin erstmal alle 40% der #Silvester-Straftäter ohne dt. Pass abschieben, bevor wir sie für immer an der Backe haben.",2025-01-09 06:55:16+00:00,1,27,de
infos_unter,Infos Unter,"Rostock, Deutschland","Polizei in Berlin ermittelt nach Veröffentlichung von ""Vornamenliste"" https://t.co/fUJLIn28N2 #berlin #polizei #vornamenliste #silvester #Nius",2025-01-09 06:52:44+00:00,0,0,de
UweJelting,Uwe Jelting 🎗️,Ostfriesland,Es wird immer absurder: Böllerführerschein. #Silvester #feuerwerk https://t.co/MFDCGqFQ9Y,2025-01-09 06:48:56+00:00,0,1,de
ndaktuell,nd.Aktuell,Berlin,"Der Rohrbruch an der Seestraße ließ an #Silvester in großen Teilen Berlins den Wasserdruck absacken, bei Verkehrsteilnehmenden sorgt er nun für Puls. https://t.co/KKMreeIB7O",2025-01-09 06:46:00+00:00,2,1,de
steffan_nethe,Steffan Nethe,"Hamburg, Deutschland","@Juergen_Fritz @jreichelt Ich werde nicht müde es wie ein Mantra zu wiederholen:

Abschiebehaft, Abschiebehaft, Abschiebehaft...

#Silvester #Berlin",2025-01-09 06:34:50+00:00,0,2,de
Juergen_Fritz,Jürgen Fritz,"Hamburg, Deutschland",@jreichelt 1.453 #silvester-typische #Straftaten registrierte die Polizei in #Berlin . 670 Verdächtige wurden gefasst. Knapp 40% sind #Ausländer 60% haben (auch) einen dt. Pass. Von diesen 60% Deutschen haben laut #NIUS 2/3 ebenfalls einen #Migrationshintergrund https://t.co/E9S7THc2UP,2025-01-09 06:31:26+00:00,2,7,de
mykmill,Michael Miller,Toronto and NFLD,"This is how Germans celebrate #Silvester #NewYear. I’m not even kidding. I remember all these fireworks in the street in front of my grandparents home #BadOrb #deutschland as a kid. But watch that video. Look at these nutheads running 🏃🤣 

Turn it up. Insane. Bedlam. https://t.co/5e4DqLr3nI",2025-01-09 03:10:33+00:00,0,1,en
PaulSch72969276,Paul Schmidt 🇩🇪 🇨🇦 🇳🇱 🇸🇪 🇮🇹 🇮🇱 🇺🇸,,"Transparenz ist also bei der Polizei #Berlin nicht erwünscht? Tatsachen zu verheimlichen aber ja?
Ali, Youssuf, Hassan: #Vornamen aus der Silvesternacht durchgestochen – Berliner Polizei ermittelt intern #Silvester https://t.co/lEItxT1CuX via @welt",2025-01-09 01:52:13+00:00,0,2,de
MollersPaul,Paul Möllers,,"@throeng @GenuineBY @Birgit_Kelle @FraukePetry Der Kontext war ganz klar: Es wurde so getan, als ob es ebenso viele Laras und Klausis wie Ahmeds und Momos waren .. Und Sie wollen davon ablenken.
#Silvester  Dummes Framing.
Wer sind Sie, was ist Ihre Agenda? https://t.co/wJI6uH1DK0",2025-01-08 23:38:18+00:00,0,0,de
Fantominia,Fantominia 🇩🇪💙🇩🇪,Deutschland NRW Berlin ,#Silvester #Berlin #Namen https://t.co/2NltBaz0Vd,2025-01-08 22:59:34+00:00,0,0,qht
fanny1liy,· 𝑓𝑎𝑛𝑛𝑦 _ _ _,黙れ ,"@Isarborn1 @jannibal_ #Böllerverbot &amp; #Tempolimit hätten die #Taharrush-Übergriffe auf belgische +deutsche Frauen verhindert. 40 arabische #Migranten umzingeln +attackieren #Frauen auf der Piazza Duomo #Mailand.
#Silvester  #NYE  #Milano
https://t.co/qL65fXpaqy",2025-01-08 22:56:56+00:00,1,1,de
witzelblower,Witzelblower,,#Silvester #Berlin #Migranten #Ausländer #DeshalbAfD #AfD #WähleAfD https://t.co/0UEZ0EolTH,2025-01-08 22:11:17+00:00,0,0,qht
PolitikDMitte,PolitikDerMitte,,Das der Linke @nikschrader hier ein vollkommen falschen Schwerpunkt setzt treibt weitere Menschen direkt in die Arme populistischer Parteien. Der Datenschutz - der hier eventuell sogar gewahrt wurde - ist den Menschen hier vollkommen egal. #Berlin #Silvester #nius https://t.co/NsSv0ZUB9c,2025-01-08 22:08:01+00:00,0,0,de
witzelblower,Witzelblower,,#Silvester #Berlin #Migranten #Migrationspolitik #DeshalbAfD #wähleAfD https://t.co/7u8gnZBXiF,2025-01-08 22:08:00+00:00,0,0,qht
ZeugeZ,Zeuge der Mauer🇩🇪,,"@welt @polizeiberlin #ermittelt #intern.
Hat die @polizeiberlin alle #Brandstiftung &amp; #Sachbeschädigung von #Silvester etwa schon #ERMITTELT ? Oder sind es soviele #Täter das eine #Vorstellung beim #Haftrichter kein Sinn macht? Und sie deswegen lieber in #Eigener #Sache ermitteln? #CDU",2025-01-08 21:47:50+00:00,0,2,de
toottenhagn,toottenhagn 🇨🇭,Schweiz,"Da wird gegen die Falschen ermittelt ‼️Ermittelt lieber gegen jene die Wahrheit unterdrücken wollen ☝️Wahrheit ist Demokratie, Zensur und Propaganda Diktatur‼️#Migration #Silvester #FreeSpeech 

https://t.co/sAbggyW123 https://t.co/w1rDqG0bdG",2025-01-08 21:27:00+00:00,0,0,de
toottenhagn,toottenhagn 🇨🇭,Schweiz,"Da wird gegen die Falschen ermittelt ‼️Ermittelt lieber gegen jene die Wahrheitz unterdrücken wollen ☝️Wahrheit ist Demokratie, Zensur und Propaganda Diktatur‼️#Migration #Silvester 

https://t.co/sAbggyW123",2025-01-08 21:26:19+00:00,0,0,de
thomas_9778,Thomas,,"Silvester-Ausschreitungen: - Migrantische Männer: „Möchten Menschen zu Opfern machen“
#Silvester #Berlin

https://t.co/BscyqINuqe

jetzt herunterladen https://t.co/K0w7xdwJef",2025-01-08 21:17:14+00:00,0,0,de
BlnTales,Ton!,"Berlin, Deutschland","Sollte die @polizeiberlin nicht besser gegen diejenigen ermitteln, die euch und andere Helfer angegriffen haben und aus #Berlin einen Kriegsschauplatz gemacht haben? Stattdessen ermittelt man nun ernsthaft, wer die Namen durchgestochen hat? 🤦🏻‍♂️ #Silvester #Vornamen #Nius
@niusde_ https://t.co/mGBjZtRISW",2025-01-08 21:08:17+00:00,0,0,de
Walter_G__,Walter G,Bayern / Bavaria,"@welt Es soll also vertuscht werden, die #Wahrheit in #Deutschland strafbar! #Berlin #Silvester",2025-01-08 21:04:22+00:00,0,2,de
andreas43452653,man4x4,,"@NancyFaeser Gibt es Zahlen zu #Einbürgerungen, bei denen  Personen ohne vorhandene #Staatsangehörigkeit, ohne Pass, die deutsche Staatsangehörigkeit bekommen haben? Ach, bei einigen neuen Deutschen ist es möglich, dass diese nach der Verleihung kriminell werden??? #Silvester",2025-01-08 20:51:03+00:00,0,0,de
info_bitte,info_bitte,everyplace,"#RBB24
Die #Polizeiberlin ist um den „Datenschutz“ bemüht, warum die #Vornamen der „406 #Deutsche’n“ nicht veröffentlicht werden.
Doch ALLE (#Berliner und Szene-Kenner) wissen, daß die meisten Festgenommenen an #Silvester ein #Migrationshintergrund haben.

https://t.co/F0CwcS610R",2025-01-08 20:33:01+00:00,0,1,de
ErzaehlDochMal_,ErzählDochMal,Deutschland,"Mit wem hast du Silvester verbracht?🎆🎇
#neujahr #2025newyear #silvester #party",2025-01-08 19:16:43+00:00,0,0,de
publizistikon,Stefan Slaby,MünsterNRW 🇩🇪,Anspruch und Wirklichkeit in #Mailand - In #Meloni #Italien kommt es #Silvester zu Übergriffen auf junge Frauen durch Nordafrikaner wie in #Köln - war die Neurechte nicht als Bollwerk gegen die unkontrollierte Migration angetreten? https://t.co/Hbmtg32U2n,2025-01-08 19:09:19+00:00,2,14,de
HeinzK_Berlin,FAXEN DICKE 🔊,,Liste der #Vornamen der #Tatverdächtigen aus der #Silvester-Nacht in #Berlin geleakt. #migranten #gewalt https://t.co/7PXCClADRS,2025-01-08 18:58:30+00:00,0,0,de
thomas_hocke,Der Wahlberliner,"Berlin, Deutschland","Nach der #Silvesternacht: Der irgendwie komische Herr #Scholz (Kommentar) #OlafScholz #SPD #tünkram #Silvester #Böllerverbot #Kugelbombe #Schöneberg #Berlin #Feuerwerk #Demokratie #btw25 #Bundestagswahl2025 #Bundestagswahlen #KleineresÜbel #CumCum #CumEx

https://t.co/OeX5hOiuc3",2025-01-08 18:18:03+00:00,0,0,de
doubtfireai,J-M.P/A.I,Bulgarien,"BJJ, Boxen &amp; Berlin: Mein krasses Jahr!
#BJJ #BrazilianJiuJitsu #Thaiboxing #Kampfsport #Ehrlichkeit #PersoenlicheGrenzen #Silvester #Deutschland #KulturSchock #ViralVideo #Humor #GoViral #TravelVlog https://t.co/2hbsY1DUaz",2025-01-08 16:59:20+00:00,0,0,de
lieberHeinrich,Du lieber Heinrich…,,Purge-Day in #Berlin #Silvester https://t.co/cQuCpG6jYy,2025-01-08 16:32:36+00:00,0,0,en
Nadine14037332,Nadine,,"Du suchst spannende Flirts oder den Partner fürs Leben? Dann bist Du bei #Flirt Hits genau richtig. Hier kannst du mit interessanten Leuten aus deiner Nähe Flirten, Quatschen oder Daten. Melde dich ♥ Schönen #Silvester &amp; GUTEN GELINGEN  in 2025  

&gt;&gt;https://t.co/lH4tfxmITF&lt;&lt;",2025-01-08 16:09:05+00:00,0,0,de
e_munich,✍ Klartext aus Muc 💻 🤳,"Bayern, Deutschland","@nikitheblogger Es heisst im Übrigen im zugewanderten Buntland nicht mehr #Silvester. Sondern:
Asylvester – „Weitgehend friedlich“.
So, jetzt stimmts! https://t.co/pfUiAOYtVP https://t.co/Vg5z8IJeAR",2025-01-08 15:22:05+00:00,4,37,de
imsimantaa,Simanta Kumar Mondal | Graphic Designer,"Jessore, Bangladesh.","About me: https://t.co/nprsET0hI7

#Rutsch #HappyNewYear2025 #Silvester #Dackel #imsimantaa #Straftat #Linnemann #register #simantakumarmondal #Kraftwerke #TheGreatestUnknown #graphicdesign #socialpost #socialmediapost #love #designer #WinterAhead #HappyNewYear https://t.co/b4jIEO0qC1",2025-01-08 14:50:57+00:00,1,0,en
imsimantaa,Simanta Kumar Mondal | Graphic Designer,"Jessore, Bangladesh.","About me: https://t.co/nprsET0hI7

 #Rutsch #HappyNewYear2025 #Silvester #Dackel #imsimantaa #Straftat #Linnemann #register #simantakumarmondal #Kraftwerke #TheGreatestUnknown #graphicdesign #socialpost #socialmediapost #love #designer #WinterAhead #HappyNewYear https://t.co/dXjhcnVslV",2025-01-08 14:50:24+00:00,1,0,en
mutiarakhrnns,mutiara dao,jakarta,"Their expertise in driving digital transformation makes them a crucial partner in shaping the future of smart cities and sustainable urban growth.
#Machthaber
#NEOS
#faunline
#ChineseNewYear
#Silvester
#Costco
#SpringFestival https://t.co/wKK7eS7Slw https://t.co/YLdpmpXW3M",2025-01-08 14:35:52+00:00,0,0,en
hatte_2x_besuch,𝓟𝓪𝓾𝓵𝓪 𝓟𝓪𝓾𝓵𝓲𝓷𝓬𝓱𝓮𝓷,irgendwo im nirgendwo,"ES WAREN DEUTSCHE!

#Silvester #Tatverdächtige https://t.co/bOj9U4sC26",2025-01-08 14:10:03+00:00,2,3,de
Azadi77,Azad Aydin,🇩🇪,"Nun #Silvester-Krawallen sind vorbei.Aber den hier vergesse ich niemals!!!

Was für ein Psychopath?
Er zündete ein Böller in der Vagina seiner EX an,wie krank muss ein Mensch sein,um überhaupt auf so eine Idee zu kommen? https://t.co/ErDJkus3Pu",2025-01-08 14:04:25+00:00,0,7,de
HLlive,HL-live.de,"Lübeck, Germany",Silvester: Polizei bittet um Fotos und Videos: Im Behaimring wurden in der Silvesternacht Einsatzkräfte und Passanten mit Pyrotechnik beschossen und mit Böllern beworfen (wir berichteten). Mittlerweile… https://t.co/W1ACxQv94o #Silvester #Lübeck #Polizei #Pyrotechnik #Sicherheit https://t.co/uDaCdgYoSH,2025-01-08 14:02:07+00:00,1,0,de
MoosburgTV,MoosburgTV,Moosburg,"Silvester Swinemünde 
#Silvester #Swinemünde 

Mehr auf https://t.co/IhKO22jXCY
https://t.co/z9uY3kO4PS

Sieh dir diesen Instagram-Beitrag von @stefan.jahnel an https://t.co/24TDHHR5QV",2025-01-08 14:00:26+00:00,0,1,de
6bot7Unimatrix,6bot7 unimatrix 01,,"@ArnoNymuski @spaceloop23 @bahngeschaedigt @bzberlin @LWojdowska Will dich nicht damit nerven oder spammen. Aber ich habe die #Silvester-#Feuerwerk-Terror-Vornamensliste von #Berlin jetzt soweit fertig. Hier einfach für dein Archiv. Gruss
https://t.co/dNuv2VczBe",2025-01-08 13:32:02+00:00,0,1,de
Wollihood,Karsten Woldeit MdA,,"Viele reden nach #Silvester in #Berlin vom Rechtsstaat und fordern die volle Härte dessen. Wie das dann in der Realität aussieht zeigt meine Anfrage zu den Verurteilungen nach den Krawallen der letzten beiden Jahre. https://t.co/1hoSUfOesb
Kein einziger Täter in Haft und zig… https://t.co/gIkj2bOCy5",2025-01-08 13:14:22+00:00,1,3,de
realteslahan,Tesla Han,,Silvester: Warschau 🇵🇱 vs. Berlin 🇩🇪 #silvester https://t.co/qQNnJTnHMV,2025-01-08 13:14:22+00:00,0,1,de
realteslahan,Tesla Han,,Reminder: Lidl vor Silvester 🇩🇪 #silvester https://t.co/5IFFgCWraU,2025-01-08 13:13:00+00:00,0,1,da
_Selbstdenker__,Ultima Ratio,,#Mailand: 2 junge Frauen werden an #Silvester von einer Horde #Migranten bedrängt und versuchen zu flüchten. Hier live zu sehen. Europa ist verloren. Unsere Kinder wachsen in Angst auf. #Massenabschiebung #Remigration #Abschieben #Milano https://t.co/B7wLYD03SP,2025-01-08 13:03:26+00:00,0,0,de
realteslahan,Tesla Han,,Alles ausverkauft. 😅🤣 #silvester #lidl https://t.co/bMCwJ4R0Ip,2025-01-08 12:59:36+00:00,0,1,de
niko_mandl,Mandl Nikolas,Wildnis,"Ich beobachte seit Jahren eine Zunahme der Knallerei an #Silvester. Selbst Naturschutzgebiete, Berggipfel und Almen werden gezielt von Feierwütigen augesucht. Nicht nur in diesen speziell sensiblen Bereichen sondern überall werden Wildtiere in dieser harten Winterzeit gestört.",2025-01-08 12:27:46+00:00,1,5,de
Zecory6569,ⱫɆ₵ØⱤɎ6569,,"💥❗️Der Staat hat keine Kontrolle darüber, wer sich hier aufhält ! #Silvester, #Solingen und #Magdeburg: Warum Kugelbomben und Polizeipannen nicht unser Hauptproblem sind ! 
Hier sind Leute unterwegs die uns verhöhnen und verspotten !
https://t.co/QqRF2Jka1p 
#Berlin #Flüchtlinge",2025-01-08 11:54:37+00:00,0,0,de
PYRO_STAFF,PyroStaff,,Nico Bengalfeuer von Norma #norma #feuerwerk #feuerwerk2024 #feuerwerkvideo #silvester #silvester2024 #silvestervideo #pyro #pyrovideo https://t.co/ebecMoct8P,2025-01-08 11:53:06+00:00,0,0,de
bundesnews1,Zentral NewsOffice,Berlin,"Deutsche Nationalhymne - August Heinrich Hoffmann von Fallersleben

#neukölln #Schönefeld #Boellerverbot #Berlin #silvester #alexanderplatz #afd #hamburg #nrw #niedersachsen #bayern #deutschland #s04 #blauweiß #schalke #Alternativefürdeutschland https://t.co/bICPBYHqt1 https://t.co/WqTtSubGce",2025-01-08 11:38:07+00:00,9,12,de
MaxeBauman8205,Maxe Baumann,Deutschland,"#Lüttmann #SPD schlägt vor, zu #Silvester #Boellerverbot,aber dafür zentrale,gesteuerte #Feuerwerks-Veranstaltungen zu tätigen.Und wieder diktiert #Migrationshintergrund,#Migrantengewalt unser öffentliches Leben. Jahrzehntelang ging Silvester gut.Seit paar Jahren nicht mehr!🤬🤬",2025-01-08 11:35:40+00:00,0,0,de
bundesnews1,Zentral NewsOffice,Berlin,"Das Blaue Wunder – Ein Lied für die AFD

#neukölln #Schönefeld #Boellerverbot #Berlin #silvester #alexanderplatz #afd #hamburg #nrw #niedersachsen #bayern #deutschland #s04 #blauweiß #schalke #Alternativefürdeutschland https://t.co/6djcdZHvbP https://t.co/WqTtSubGce",2025-01-08 11:35:35+00:00,8,10,de
bundesnews1,Zentral NewsOffice,Berlin,"Am Sonntag liegt es an uns - Song über Alternative für Deutschland 

#neukölln #Schönefeld #Boellerverbot #Berlin #silvester #alexanderplatz #afd #hamburg #nrw #niedersachsen #bayern #deutschland #s04 #blauweiß #schalke #Alternativefürdeutschland https://t.co/2jmJVUpsrW https://t.co/WqTtSubGce",2025-01-08 11:32:51+00:00,8,10,de
GianlucaMonz,Luciano,"Köln, Deutschland","In der Silvesternacht sollen junge Männer mit arabischen Wurzeln in Mailand junge Frauen sexuell belästigt haben. Ein Video zeigt, wie die Frauen versuchen, die Männer abzuwehren und in Tränen ausbrechen #Silvester #boellerverbot #Faeser #Mailand #Migration #migrationspolitik https://t.co/AmzzsG2Qzl https://t.co/jA57qx5XZ0",2025-01-08 11:32:26+00:00,0,0,de
